Air_temp,age,sex,thermalsensation,thermalsensationacceptability,thermalpreference,thermalcomfort,clo,met,relativehumidity,airvelocity,BMI,outdoormonthlyairtemperature
33,55,Male,3,0,cooler,1,0.55,1.1,55.5,0.35,25.68052473,29.5
33.1,55,Male,2,0,cooler,2,0.46,1.1,54.2,0.43,20.15621063,29.5
33.1,55,Female,3,0,cooler,1,0.63,1.1,53.5,0.67,25.68052473,29.5
33,45,Male,3,0,cooler,1,0.55,1.1,53,0.67,20.55933485,29.5
33.2,25,Female,0,1,cooler,6,0.45,1.1,52.9,0.47,23.84620154,29.5
33.4,55,Male,0,1,cooler,4,0.49,1.1,51,1.02,30.46875,29.5
33.4,45,Male,2,0,cooler,2,0.49,1.3,50.7,0.42,22.4385219,29.5
33.5,45,Male,3,0,cooler,1,0.58,1.3,46.3,0.29,28.48012941,29.5
33.8,35,Male,3,0,cooler,3,0.49,1.1,46.1,0.52,20.11715561,29.5
33.8,35,Male,3,0,cooler,3,0.55,1.2,46.1,0.46,24.22145329,29.5
33.8,35,Male,0,1,cooler,6,0.52,1.1,46.3,0.39,19.58008897,29.5
