TMP,AGE,CLO,MET,RH,AV,BMI,OTMP,SEX,TS
24.6,45,0.73,1.1,53.6,0.05,30.17573341,30.9,Male,-1
24.5,25,0.74,1.2,67.9,0.02,25.79994961,30.8,Female,0
27.4,25,0.59,1.1,60.4,0.39,21.484375,30.9,Female,-1
24.3,35,0.64,1.1,50,0.16,26.41425401,29.5,Male,-2
18.1,45,1.52,1.3,51.3,0.02,24.85497811,15.5,Male,0
24.4,25,0.62,1.3,51.7,0.05,20.08325122,30.9,Female,0
27.2,45,0.7,1.4,31.8,0.03,22.74560762,18.5,Male,1
25.9,25,0.6,1.2,65.2,0.13,18.94448233,30.9,Female,0
24.3,25,1.04,1.1,22.4,0.2,19.37503875,21.3,Female,0
23.5,45,0.67,1.6,57.7,0.15,19.67685767,18.5,Male,0
25.1,35,0.68,1.1,64.6,0.37,23.62028791,30.8,Male,0
18.1,55,1.99,1.4,39.4,0.07,21.79358524,8.5,Male,-1
24.7,25,0.71,1.4,52,0.11,22.23098713,30.9,Male,-1
